Current dataset: FashionMNIST | Current depth: 3
Epoch 0 | Train Loss: 1.9151 | Test Accuracy: 59.61% | AUC: 0.9260
Epoch 1 | Train Loss: 1.4889 | Test Accuracy: 56.87% | AUC: 0.9325
Epoch 2 | Train Loss: 1.2274 | Test Accuracy: 57.94% | AUC: 0.9326
Epoch 3 | Train Loss: 1.0885 | Test Accuracy: 58.57% | AUC: 0.9367
Epoch 4 | Train Loss: 1.0078 | Test Accuracy: 59.33% | AUC: 0.9389
Epoch 5 | Train Loss: 0.9587 | Test Accuracy: 59.73% | AUC: 0.9412
Epoch 6 | Train Loss: 0.9169 | Test Accuracy: 64.24% | AUC: 0.9435
Epoch 7 | Train Loss: 0.8587 | Test Accuracy: 66.40% | AUC: 0.9511
Epoch 8 | Train Loss: 0.8142 | Test Accuracy: 68.31% | AUC: 0.9521
Epoch 9 | Train Loss: 0.7834 | Test Accuracy: 70.80% | AUC: 0.9531
Epoch 10 | Train Loss: 0.7576 | Test Accuracy: 72.12% | AUC: 0.9546
Epoch 11 | Train Loss: 0.7393 | Test Accuracy: 72.87% | AUC: 0.9558
Epoch 12 | Train Loss: 0.7221 | Test Accuracy: 72.30% | AUC: 0.9577
Epoch 13 | Train Loss: 0.7084 | Test Accuracy: 73.87% | AUC: 0.9608
Epoch 14 | Train Loss: 0.6951 | Test Accuracy: 74.60% | AUC: 0.9611
Epoch 15 | Train Loss: 0.6847 | Test Accuracy: 76.64% | AUC: 0.9619
Epoch 16 | Train Loss: 0.6762 | Test Accuracy: 77.21% | AUC: 0.9630
Epoch 17 | Train Loss: 0.6654 | Test Accuracy: 76.79% | AUC: 0.9626
Epoch 18 | Train Loss: 0.6555 | Test Accuracy: 77.90% | AUC: 0.9646
Epoch 19 | Train Loss: 0.6446 | Test Accuracy: 78.55% | AUC: 0.9658
Epoch 20 | Train Loss: 0.6338 | Test Accuracy: 78.37% | AUC: 0.9664
Epoch 21 | Train Loss: 0.6255 | Test Accuracy: 78.91% | AUC: 0.9676
Epoch 22 | Train Loss: 0.6187 | Test Accuracy: 79.17% | AUC: 0.9681
Epoch 23 | Train Loss: 0.6101 | Test Accuracy: 79.18% | AUC: 0.9675
Epoch 24 | Train Loss: 0.6056 | Test Accuracy: 79.25% | AUC: 0.9689
Epoch 25 | Train Loss: 0.6007 | Test Accuracy: 79.62% | AUC: 0.9688
Epoch 26 | Train Loss: 0.5954 | Test Accuracy: 79.61% | AUC: 0.9695
Epoch 27 | Train Loss: 0.5926 | Test Accuracy: 78.50% | AUC: 0.9674
Epoch 28 | Train Loss: 0.5887 | Test Accuracy: 79.98% | AUC: 0.9702
Epoch 29 | Train Loss: 0.5864 | Test Accuracy: 80.14% | AUC: 0.9699
Epoch 30 | Train Loss: 0.5827 | Test Accuracy: 79.81% | AUC: 0.9707
Epoch 31 | Train Loss: 0.5800 | Test Accuracy: 80.91% | AUC: 0.9710
Epoch 32 | Train Loss: 0.5783 | Test Accuracy: 81.22% | AUC: 0.9719
Epoch 33 | Train Loss: 0.5734 | Test Accuracy: 81.07% | AUC: 0.9720
Epoch 34 | Train Loss: 0.5732 | Test Accuracy: 81.39% | AUC: 0.9714
